full_text,casefolding,cleanedtext,slangremoved,stopwordremoved,tokenized,stemming,stemming_str,sentiment
@BebySoSweet Dari sini kita semua paham ternyata Prabowo jadi presiden hanya wayang dalang nya tetap Jokowi,@bebysosweet dari sini kita semua paham ternyata prabowo jadi presiden hanya wayang dalang nya tetap jokowi,dari sini kita semua paham ternyata prabowo jadi presiden hanya wayang dalang nya tetap jokowi,dari sini kita semua paham ternyata prabowo jadi presiden hanya wayang dalang nya tetap jokowi,paham prabowo presiden wayang dalang jokowi,"['paham', 'prabowo', 'presiden', 'wayang', 'dalang', 'jokowi']","['paham', 'prabowo', 'presiden', 'wayang', 'dalang', 'jokowi']",paham prabowo presiden wayang dalang jokowi,netral
@UmarHasibuan__ Secara dejure jkw bukan presiden secara defakto iya. Prabowo hanya boneka pajangan dan g smp 2thn lagi turun tahta.,@umarhasibuan__ secara dejure jkw bukan presiden secara defakto iya. prabowo hanya boneka pajangan dan g smp 2thn lagi turun tahta.,secara dejure jkw bukan presiden secara defakto iya prabowo hanya boneka pajangan dan g smp thn lagi turun tahta,secara dejure jkw bukan presiden secara defakto iya prabowo hanya boneka pajangan dan tidak sampai tahun lagi turun tahta,dejure jkw presiden iya prabowo boneka pajangan turun tahta,"['dejure', 'jkw', 'presiden', 'iya', 'prabowo', 'boneka', 'pajangan', 'turun', 'tahta']","['dejure', 'jkw', 'presiden', 'iya', 'prabowo', 'boneka', 'pajang', 'turun', 'tahta']",dejure jkw presiden iya prabowo boneka pajang turun tahta,netral
@AbdulRachimmks @prabowo @Gerindra @Fraksi_Gerindra @Dahnilanzar @fadlizon @habiburokhman @DPR_RI @CNNIndonesia @Metro_TV @tvOneNews @ILCTalkshow @karniilyas @NarasiNewsroom @NajwaShihab @KejaksaanRI SEPERTINYA HAKIMNYA CUAN BANYAK GIMANA MENURUT PAK PRABOWO? https://t.co/V7TOXeznpW,@abdulrachimmks @prabowo @gerindra @fraksi_gerindra @dahnilanzar @fadlizon @habiburokhman @dpr_ri @cnnindonesia @metro_tv @tvonenews @ilctalkshow @karniilyas @narasinewsroom @najwashihab @kejaksaanri sepertinya hakimnya cuan banyak gimana menurut pak prabowo? https://t.co/v7toxeznpw,sepertinya hakimnya cuan banyak gimana menurut pak prabowo,sepertinya hakimnya cuan banyak bagaimana menurut pak prabowo,hakimnya cuan prabowo,"['hakimnya', 'cuan', 'prabowo']","['hakim', 'cuan', 'prabowo']",hakim cuan prabowo,netral
@msaid_didu hebat pejuang sejati @prabowo . @mohmahfudmd. @aniesbaswedan . @korantempo . @Metro_TV,@msaid_didu hebat pejuang sejati @prabowo . @mohmahfudmd. @aniesbaswedan . @korantempo . @metro_tv,hebat pejuang sejati,hebat pejuang sejati,hebat pejuang sejati,"['hebat', 'pejuang', 'sejati']","['hebat', 'juang', 'sejati']",hebat juang sejati,netral
@BANGSAygSUJUD @prabowo @99propaganda @adri_zizie @bitCarli77 @DarekaRendy @EricRicaldo @FDonghun @florieliciouss @Kimberley_PS08 @are_inismyname @Ndons_Back Geng bohir pasti keciprat nih... Omon2,@bangsaygsujud @prabowo @99propaganda @adri_zizie @bitcarli77 @darekarendy @ericricaldo @fdonghun @florieliciouss @kimberley_ps08 @are_inismyname @ndons_back geng bohir pasti keciprat nih... omon2,geng bohir pasti keciprat nih omon,geng bohir pasti keciprat nih omon,geng bohir keciprat omon,"['geng', 'bohir', 'keciprat', 'omon']","['geng', 'bohir', 'ciprat', 'omon']",geng bohir ciprat omon,netral
@Piyusaja2 @prabowo Lama2 gw kagum jg ama fufufafa... visioner bgt ternyata,@piyusaja2 @prabowo lama2 gw kagum jg ama fufufafa... visioner bgt ternyata,lama gw kagum jg ama fufufafa visioner bgt ternyata,lama saya kagum juga sama fufufafa visioner banget ternyata,kagum fufufafa visioner banget,"['kagum', 'fufufafa', 'visioner', 'banget']","['kagum', 'fufufafa', 'visioner', 'banget']",kagum fufufafa visioner banget,netral
Diskon Tarif Listrik Setengah Harga PLN mendukung penuh langkah Pemerintah dalam menyalurkan paket stimulus ekonomi bagi 81 4 juta pelanggan atau 97 persen dari total 84 juta pelanggan golongan rumah tangga. #APBNuntukRakyat #PemerintahHadir #DiskonListrik50% https://t.co/QUbrKFF6qb,diskon tarif listrik setengah harga pln mendukung penuh langkah pemerintah dalam menyalurkan paket stimulus ekonomi bagi 81 4 juta pelanggan atau 97 persen dari total 84 juta pelanggan golongan rumah tangga. #apbnuntukrakyat #pemerintahhadir #diskonlistrik50% https://t.co/qubrkff6qb,diskon tarif listrik setengah harga pln mendukung penuh langkah pemerintah dalam menyalurkan paket stimulus ekonomi bagi juta pelanggan atau persen dari total juta pelanggan golongan rumah tangga apbnuntukrakyat pemerintahhadir diskonlistrik,diskon tarif listrik setengah harga pln mendukung penuh langkah pemerintah dalam menyalurkan paket stimulus ekonomi bagi juta pelanggan atau persen dari total juta pelanggan golongan rumah tangga apbnuntukrakyat pemerintahhadir diskonlistrik,diskon tarif listrik harga pln mendukung penuh langkah pemerintah menyalurkan paket stimulus ekonomi juta pelanggan persen total juta pelanggan golongan rumah tangga,"['diskon', 'tarif', 'listrik', 'harga', 'pln', 'mendukung', 'penuh', 'langkah', 'pemerintah', 'menyalurkan', 'paket', 'stimulus', 'ekonomi', 'juta', 'pelanggan', 'persen', 'total', 'juta', 'pelanggan', 'golongan', 'rumah', 'tangga']","['diskon', 'tarif', 'listrik', 'harga', 'pln', 'dukung', 'penuh', 'langkah', 'perintah', 'salur', 'paket', 'stimulus', 'ekonomi', 'juta', 'langgan', 'persen', 'total', 'juta', 'langgan', 'golong', 'rumah', 'tangga']",diskon tarif listrik harga pln dukung penuh langkah perintah salur paket stimulus ekonomi juta langgan persen total juta langgan golong rumah tangga,positif
@Tan_Mar3M @yaniarsim @prabowo Spesialis orator (omon2),@tan_mar3m @yaniarsim @prabowo spesialis orator (omon2),spesialis orator omon,spesialis orator omon,spesialis orator omon,"['spesialis', 'orator', 'omon']","['spesialis', 'orator', 'omon']",spesialis orator omon,positif
Untuk pak Omon omon @prabowo,untuk pak omon omon @prabowo,untuk pak omon omon,untuk pak omon omon,omon omon,"['omon', 'omon']","['omon', 'omon']",omon omon,netral
@opposite6892 Tuh pak @prabowo,@opposite6892 tuh pak @prabowo,tuh pak,tuh pak,tuh,['tuh'],['tuh'],tuh,netral
@KompasTV Ingat ya gaes cita�� wowo @prabowo itu cuma pen jadi presiden doang setelah jadi presiden dia cuma bisa ngelawak doang ya itu gak masalah buat dia karena dia bisanya cuma gitu doang,@kompastv ingat ya gaes cita�� wowo @prabowo itu cuma pen jadi presiden doang setelah jadi presiden dia cuma bisa ngelawak doang ya itu gak masalah buat dia karena dia bisanya cuma gitu doang,ingat ya gaes cita�� wowo itu cuma pen jadi presiden doang setelah jadi presiden dia cuma bisa ngelawak doang ya itu gak masalah buat dia karena dia bisanya cuma gitu doang,ingat ya gaes cita�� wowo itu cuma ingin jadi presiden doang setelah jadi presiden dia cuma bisa melawak doang ya itu tidak masalah buat dia karena dia bisanya cuma begitu doang,ya gaes cita�� wowo presiden doang presiden melawak doang ya bisanya doang,"['ya', 'gaes', 'cita��', 'wowo', 'presiden', 'doang', 'presiden', 'melawak', 'doang', 'ya', 'bisanya', 'doang']","['ya', 'gaes', 'cita', 'wowo', 'presiden', 'doang', 'presiden', 'lawak', 'doang', 'ya', 'bisa', 'doang']",ya gaes cita wowo presiden doang presiden lawak doang ya bisa doang,positif
@rolls_banana @BANGSAygSUJUD @prabowo @bitCarli77 @EricRicaldo @FDonghun @gtobing2903 @Ndons_Back @florieliciouss @are_inismyname @99propaganda @hasanudinsajid Kenapa kamu nggak tinggal dan jadi warga singapore. Lebih membanggakan,@rolls_banana @bangsaygsujud @prabowo @bitcarli77 @ericricaldo @fdonghun @gtobing2903 @ndons_back @florieliciouss @are_inismyname @99propaganda @hasanudinsajid kenapa kamu nggak tinggal dan jadi warga singapore. lebih membanggakan,kenapa kamu nggak tinggal dan jadi warga singapore lebih membanggakan,kenapa kamu tidak tinggal dan jadi warga singapore lebih membanggakan,tinggal warga singapore membanggakan,"['tinggal', 'warga', 'singapore', 'membanggakan']","['tinggal', 'warga', 'singapore', 'bangga']",tinggal warga singapore bangga,netral
@BANGSAygSUJUD @prabowo @99propaganda @EricRicaldo @FDonghun @florieliciouss @gtobing2903 @Kimberley_PS08 @MondrianOm6762 @Ndons_Back @are_inismyname @satriamadang88 Masya Allah La quwwata illa billah,@bangsaygsujud @prabowo @99propaganda @ericricaldo @fdonghun @florieliciouss @gtobing2903 @kimberley_ps08 @mondrianom6762 @ndons_back @are_inismyname @satriamadang88 masya allah la quwwata illa billah,masya allah la quwwata illa billah,masya allah lah quwwata illa billah,masya allah,"['masya', 'allah']","['masya', 'allah']",masya allah,positif
@BebySoSweet @KPK_RI Kan suaranya udah untuk prabowo ya aman dong,@bebysosweet @kpk_ri kan suaranya udah untuk prabowo ya aman dong,kan suaranya udah untuk prabowo ya aman dong,kan suaranya sudah untuk prabowo ya aman dong,suaranya prabowo ya aman,"['suaranya', 'prabowo', 'ya', 'aman']","['suara', 'prabowo', 'ya', 'aman']",suara prabowo ya aman,positif
Contoh nya ini ya @prabowo @Gerindra ? https://t.co/MR92TMYxTC,contoh nya ini ya @prabowo @gerindra ? https://t.co/mr92tmyxtc,contoh nya ini ya,contoh nya ini ya,contoh ya,"['contoh', 'ya']","['contoh', 'ya']",contoh ya,positif
@yaniarsim @prabowo Yang penting sudah jadi presiden ya pak ! soal ada guna atau tidak bagi rakyat soal belaksngan,@yaniarsim @prabowo yang penting sudah jadi presiden ya pak ! soal ada guna atau tidak bagi rakyat soal belaksngan,yang penting sudah jadi presiden ya pak soal ada guna atau tidak bagi rakyat soal belaksngan,yang penting sudah jadi presiden ya pak soal ada guna atau tidak bagi rakyat soal belaksngan,presiden ya rakyat,"['presiden', 'ya', 'rakyat']","['presiden', 'ya', 'rakyat']",presiden ya rakyat,positif
@AnKiiim_ Kalau amanah UU syarat usia wakil presiden bisa dirubah..kalau kayak ga boleh dirubah harus dijalan .. pemerintah gobolg,@ankiiim_ kalau amanah uu syarat usia wakil presiden bisa dirubah..kalau kayak ga boleh dirubah harus dijalan .. pemerintah gobolg,kalau amanah uu syarat usia wakil presiden bisa dirubah kalau kayak ga boleh dirubah harus dijalan pemerintah gobolg,kalau amanah uu syarat usia wakil presiden bisa dirubah kalau seperti tidak boleh dirubah harus dijalan pemerintah gobolg,amanah uu syarat usia wakil presiden dirubah dirubah dijalan pemerintah,"['amanah', 'uu', 'syarat', 'usia', 'wakil', 'presiden', 'dirubah', 'dirubah', 'dijalan', 'pemerintah']","['amanah', 'uu', 'syarat', 'usia', 'wakil', 'presiden', 'rubah', 'rubah', 'jalan', 'perintah']",amanah uu syarat usia wakil presiden rubah rubah jalan perintah,positif
$RLUSD offers stability amid market turbulence. $BTC $ETH #Bitcoin #Ethereum $XRP $RLUSD $MSTR https://t.co/6CtuY5Ov6b,$rlusd offers stability amid market turbulence. $btc $eth #bitcoin #ethereum $xrp $rlusd $mstr https://t.co/6ctuy5ov6b,rlusd offers stability amid market turbulence btc eth bitcoin ethereum xrp rlusd mstr,rlusd offers stability amid market turbulence btc eth bitcoin ethereum xrp rlusd mstr,rlusd stability market turbulence btc eth bitcoin ethereum rlusd,"['rlusd', 'stability', 'market', 'turbulence', 'btc', 'eth', 'bitcoin', 'ethereum', 'rlusd']","['rlusd', 'stability', 'market', 'turbulence', 'btc', 'eth', 'bitcoin', 'ethereum', 'rlusd']",rlusd stability market turbulence btc eth bitcoin ethereum rlusd,netral
@KompasTV Mantap pak @prabowo PPN batal berarti kan?,@kompastv mantap pak @prabowo ppn batal berarti kan?,mantap pak ppn batal berarti kan,mantap pak ppn batal berarti kan,mantap ppn batal,"['mantap', 'ppn', 'batal']","['mantap', 'ppn', 'batal']",mantap ppn batal,netral
Komitmen pemerintah dalam pemberantasan penyelundupan merupakan bagian dari upaya menjaga stabilitas ekonomi keamanan dan kedaulatan negara. #BerantasPenyelundupan #PrabowoBerantasPenyelundupan #AstaCita #IndonesiaTanpaPenyelundupan https://t.co/GmheEBPExt,komitmen pemerintah dalam pemberantasan penyelundupan merupakan bagian dari upaya menjaga stabilitas ekonomi keamanan dan kedaulatan negara. #berantaspenyelundupan #prabowoberantaspenyelundupan #astacita #indonesiatanpapenyelundupan https://t.co/gmheebpext,komitmen pemerintah dalam pemberantasan penyelundupan merupakan bagian dari upaya menjaga stabilitas ekonomi keamanan dan kedaulatan negara berantaspenyelundupan prabowoberantaspenyelundupan astacita indonesiatanpapenyelundupan,komitmen pemerintah dalam pemberantasan penyelundupan merupakan bagian dari upaya menjaga stabilitas ekonomi keamanan dan kedaulatan negara berantaspenyelundupan prabowoberantaspenyelundupan astacita indonesiatanpapenyelundupan,komitmen pemerintah pemberantasan penyelundupan upaya menjaga stabilitas ekonomi keamanan kedaulatan negara berantaspenyelundupan prabowoberantaspenyelundupan astacita indonesiatanpapenyelundupan,"['komitmen', 'pemerintah', 'pemberantasan', 'penyelundupan', 'upaya', 'menjaga', 'stabilitas', 'ekonomi', 'keamanan', 'kedaulatan', 'negara', 'berantaspenyelundupan', 'prabowoberantaspenyelundupan', 'astacita', 'indonesiatanpapenyelundupan']","['komitmen', 'perintah', 'berantas', 'selundup', 'upaya', 'jaga', 'stabilitas', 'ekonomi', 'aman', 'daulat', 'negara', 'berantaspenyelundupan', 'prabowoberantaspenyelundupan', 'astacita', 'indonesiatanpapenyelundupan']",komitmen perintah berantas selundup upaya jaga stabilitas ekonomi aman daulat negara berantaspenyelundupan prabowoberantaspenyelundupan astacita indonesiatanpapenyelundupan,positif
@sutanmangara @prabowo Omon omon level prabowo...,@sutanmangara @prabowo omon omon level prabowo...,omon omon level prabowo,omon omon level prabowo,omon omon level prabowo,"['omon', 'omon', 'level', 'prabowo']","['omon', 'omon', 'level', 'prabowo']",omon omon level prabowo,netral
@Mata_Netizen62 @prabowo @DioR3b0rn @Dennysiregar7 @Cintada16 @ch_chotimah2 @Bambangmulyonoo @INDONESIAPERKS4 @pandji @AntoniusCDN Ooo gaa bisaaa...krn ini ANTAR KITA...,@mata_netizen62 @prabowo @dior3b0rn @dennysiregar7 @cintada16 @ch_chotimah2 @bambangmulyonoo @indonesiaperks4 @pandji @antoniuscdn ooo gaa bisaaa...krn ini antar kita...,ooo gaa bisaaa krn ini antar kita,ooo tidak bisa karena ini antar kita,ooo,['ooo'],['ooo'],ooo,netral
@regar_op0sisi @prabowo kucing meong,@regar_op0sisi @prabowo kucing meong,kucing meong,kucing meong,kucing meong,"['kucing', 'meong']","['kucing', 'meong']",kucing meong,netral
@prabowo Omon omon ppn 12%,@prabowo omon omon ppn 12%,omon omon ppn,omon omon ppn,omon omon ppn,"['omon', 'omon', 'ppn']","['omon', 'omon', 'ppn']",omon omon ppn,netral
@yaniarsim @aniesbaswedan @prabowo Pikiran cerdas pasti melahirkan kemaslahatan.,@yaniarsim @aniesbaswedan @prabowo pikiran cerdas pasti melahirkan kemaslahatan.,pikiran cerdas pasti melahirkan kemaslahatan,pikiran cerdas pasti melahirkan kemaslahatan,pikiran cerdas melahirkan kemaslahatan,"['pikiran', 'cerdas', 'melahirkan', 'kemaslahatan']","['pikir', 'cerdas', 'lahir', 'maslahat']",pikir cerdas lahir maslahat,positif
Anak-anak kini merasa lebih sehat dan berenergi berkat dukungan makanan bergizi gratis dari pemerintah. #MakanBergiziBangunNegeri,anak-anak kini merasa lebih sehat dan berenergi berkat dukungan makanan bergizi gratis dari pemerintah. #makanbergizibangunnegeri,anak anak kini merasa lebih sehat dan berenergi berkat dukungan makanan bergizi gratis dari pemerintah makanbergizibangunnegeri,anak anak kini merasa lebih sehat dan berenergi berkat dukungan makanan bergizi gratis dari pemerintah makanbergizibangunnegeri,anak anak sehat berenergi berkat dukungan makanan bergizi gratis pemerintah makanbergizibangunnegeri,"['anak', 'anak', 'sehat', 'berenergi', 'berkat', 'dukungan', 'makanan', 'bergizi', 'gratis', 'pemerintah', 'makanbergizibangunnegeri']","['anak', 'anak', 'sehat', 'energi', 'berkat', 'dukung', 'makan', 'gizi', 'gratis', 'perintah', 'makanbergizibangunnegeri']",anak anak sehat energi berkat dukung makan gizi gratis perintah makanbergizibangunnegeri,positif
@Dennysiregar7 Ngapain salahin PDIP di zaman Mulyono yg punya kuasa kan Prabowo ya klo mau ppn-nya naik ya naik aja dan klo mau batalin peraturannya yg sudah diundangkan batalin aja gitu aja ko repot......,@dennysiregar7 ngapain salahin pdip di zaman mulyono yg punya kuasa kan prabowo ya klo mau ppn-nya naik ya naik aja dan klo mau batalin peraturannya yg sudah diundangkan batalin aja gitu aja ko repot......,ngapain salahin pdip di zaman mulyono yg punya kuasa kan prabowo ya klo mau ppn nya naik ya naik aja dan klo mau batalin peraturannya yg sudah diundangkan batalin aja gitu aja ko repot,mengapai salahkan pdip di zaman mulyono yang punya kuasa kan prabowo ya kalo mau ppn nya naik ya naik saja dan kalo mau batalin peraturannya yang sudah diundangkan batalin saja begitu saja kok repot,mengapai salahkan pdip zaman mulyono kuasa prabowo ya ppn ya batalin peraturannya diundangkan batalin repot,"['mengapai', 'salahkan', 'pdip', 'zaman', 'mulyono', 'kuasa', 'prabowo', 'ya', 'ppn', 'ya', 'batalin', 'peraturannya', 'diundangkan', 'batalin', 'repot']","['kapai', 'salah', 'pdip', 'zaman', 'mulyono', 'kuasa', 'prabowo', 'ya', 'ppn', 'ya', 'batalin', 'atur', 'undang', 'batalin', 'repot']",kapai salah pdip zaman mulyono kuasa prabowo ya ppn ya batalin atur undang batalin repot,netral
Pemerintah harus terus memperluas jangkauan program makan bergizi gratis ke seluruh Indonesia. #MakanBergiziBangunNegeri,pemerintah harus terus memperluas jangkauan program makan bergizi gratis ke seluruh indonesia. #makanbergizibangunnegeri,pemerintah harus terus memperluas jangkauan program makan bergizi gratis ke seluruh indonesia makanbergizibangunnegeri,pemerintah harus terus memperluas jangkauan program makan bergizi gratis ke seluruh indonesia makanbergizibangunnegeri,pemerintah memperluas jangkauan program makan bergizi gratis indonesia makanbergizibangunnegeri,"['pemerintah', 'memperluas', 'jangkauan', 'program', 'makan', 'bergizi', 'gratis', 'indonesia', 'makanbergizibangunnegeri']","['perintah', 'luas', 'jangkau', 'program', 'makan', 'gizi', 'gratis', 'indonesia', 'makanbergizibangunnegeri']",perintah luas jangkau program makan gizi gratis indonesia makanbergizibangunnegeri,positif
Salut buat pemerintah yang kasih solusi nyata buat masalah stunting. Mantul banget! #MakanBergiziBangunNegeri,salut buat pemerintah yang kasih solusi nyata buat masalah stunting. mantul banget! #makanbergizibangunnegeri,salut buat pemerintah yang kasih solusi nyata buat masalah stunting mantul banget makanbergizibangunnegeri,salut buat pemerintah yang kasih solusi nyata buat masalah stunting mantul banget makanbergizibangunnegeri,salut pemerintah kasih solusi nyata stunting mantul banget makanbergizibangunnegeri,"['salut', 'pemerintah', 'kasih', 'solusi', 'nyata', 'stunting', 'mantul', 'banget', 'makanbergizibangunnegeri']","['salut', 'perintah', 'kasih', 'solusi', 'nyata', 'stunting', 'mantul', 'banget', 'makanbergizibangunnegeri']",salut perintah kasih solusi nyata stunting mantul banget makanbergizibangunnegeri,positif
Prabowo memastikan setiap anak Indonesia dapat mengakses makanan bergizi untuk mendukung tumbuh kembang mereka. #MakanBergiziBangunNegeri,prabowo memastikan setiap anak indonesia dapat mengakses makanan bergizi untuk mendukung tumbuh kembang mereka. #makanbergizibangunnegeri,prabowo memastikan setiap anak indonesia dapat mengakses makanan bergizi untuk mendukung tumbuh kembang mereka makanbergizibangunnegeri,prabowo memastikan setiap anak indonesia dapat mengakses makanan bergizi untuk mendukung tumbuh kembang mereka makanbergizibangunnegeri,prabowo anak indonesia mengakses makanan bergizi mendukung tumbuh kembang makanbergizibangunnegeri,"['prabowo', 'anak', 'indonesia', 'mengakses', 'makanan', 'bergizi', 'mendukung', 'tumbuh', 'kembang', 'makanbergizibangunnegeri']","['prabowo', 'anak', 'indonesia', 'akses', 'makan', 'gizi', 'dukung', 'tumbuh', 'kembang', 'makanbergizibangunnegeri']",prabowo anak indonesia akses makan gizi dukung tumbuh kembang makanbergizibangunnegeri,positif
@prabowo Sesuai slogan.... Omon omon..,@prabowo sesuai slogan.... omon omon..,sesuai slogan omon omon,sesuai slogan omon omon,sesuai slogan omon omon,"['sesuai', 'slogan', 'omon', 'omon']","['sesuai', 'slogan', 'omon', 'omon']",sesuai slogan omon omon,positif
@prabowo Pak di tiktok banyak yg dukung bapak tapi tidak dengan disini,@prabowo pak di tiktok banyak yg dukung bapak tapi tidak dengan disini,pak di tiktok banyak yg dukung bapak tapi tidak dengan disini,pak di tiktok banyak yang dukung bapak tapi tidak dengan disini,tiktok dukung,"['tiktok', 'dukung']","['tiktok', 'dukung']",tiktok dukung,positif
Prabowo berkomitmen untuk memastikan setiap anak Indonesia mendapatkan makanan yang mendukung perkembangan mereka. #MakanBergiziBangunNegeri,prabowo berkomitmen untuk memastikan setiap anak indonesia mendapatkan makanan yang mendukung perkembangan mereka. #makanbergizibangunnegeri,prabowo berkomitmen untuk memastikan setiap anak indonesia mendapatkan makanan yang mendukung perkembangan mereka makanbergizibangunnegeri,prabowo berkomitmen untuk memastikan setiap anak indonesia mendapatkan makanan yang mendukung perkembangan mereka makanbergizibangunnegeri,prabowo berkomitmen anak indonesia makanan mendukung perkembangan makanbergizibangunnegeri,"['prabowo', 'berkomitmen', 'anak', 'indonesia', 'makanan', 'mendukung', 'perkembangan', 'makanbergizibangunnegeri']","['prabowo', 'komitmen', 'anak', 'indonesia', 'makan', 'dukung', 'kembang', 'makanbergizibangunnegeri']",prabowo komitmen anak indonesia makan dukung kembang makanbergizibangunnegeri,positif
@prabowo Bisa kah bpk buktikan janji bpk sebelum menjadi presiden.,@prabowo bisa kah bpk buktikan janji bpk sebelum menjadi presiden.,bisa kah bpk buktikan janji bpk sebelum menjadi presiden,bisa kah bpk buktikan janji bpk sebelum menjadi presiden,kah bpk buktikan janji bpk presiden,"['kah', 'bpk', 'buktikan', 'janji', 'bpk', 'presiden']","['kah', 'bpk', 'bukti', 'janji', 'bpk', 'presiden']",kah bpk bukti janji bpk presiden,netral
@sutanmangara Terima kasih sdh berpihak ke rakyat kecil datuk @anwaribrahim Kami tunggu langkah serupa ya pak @prabowo,@sutanmangara terima kasih sdh berpihak ke rakyat kecil datuk @anwaribrahim kami tunggu langkah serupa ya pak @prabowo,terima kasih sdh berpihak ke rakyat kecil datuk kami tunggu langkah serupa ya pak,terima kasih sudah berpihak ke rakyat kecil datuk kami tunggu langkah serupa ya pak,terima kasih berpihak rakyat datuk tunggu langkah ya,"['terima', 'kasih', 'berpihak', 'rakyat', 'datuk', 'tunggu', 'langkah', 'ya']","['terima', 'kasih', 'pihak', 'rakyat', 'datuk', 'tunggu', 'langkah', 'ya']",terima kasih pihak rakyat datuk tunggu langkah ya,netral
@prabowo Sehat selalu dan dalam lindungan Alloh. Kami mendukung langkahmu. Semoga panjang umur dan sejahtera selalu. Aamiiin,@prabowo sehat selalu dan dalam lindungan alloh. kami mendukung langkahmu. semoga panjang umur dan sejahtera selalu. aamiiin,sehat selalu dan dalam lindungan alloh kami mendukung langkahmu semoga panjang umur dan sejahtera selalu aamiiin,sehat selalu dan dalam lindungan allah kami mendukung langkahmu semoga panjang umur dan sejahtera selalu amin,sehat lindungan allah mendukung langkahmu semoga umur sejahtera amin,"['sehat', 'lindungan', 'allah', 'mendukung', 'langkahmu', 'semoga', 'umur', 'sejahtera', 'amin']","['sehat', 'lindung', 'allah', 'dukung', 'langkah', 'moga', 'umur', 'sejahtera', 'amin']",sehat lindung allah dukung langkah moga umur sejahtera amin,positif
@Heraloebss Boro�� buka lapangan pekerjaan Sritex aja yang dukung Prabowo Gibran tutup mereka ga bisa ngapa��in,@heraloebss boro�� buka lapangan pekerjaan sritex aja yang dukung prabowo gibran tutup mereka ga bisa ngapa��in,boro�� buka lapangan pekerjaan sritex aja yang dukung prabowo gibran tutup mereka ga bisa ngapa��in,boro�� buka lapangan pekerjaan sritex saja yang dukung prabowo gibran tutup mereka tidak bisa ngapa��in,boro�� buka lapangan pekerjaan sritex dukung prabowo gibran tutup ngapa��in,"['boro��', 'buka', 'lapangan', 'pekerjaan', 'sritex', 'dukung', 'prabowo', 'gibran', 'tutup', 'ngapa��in']","['boro', 'buka', 'lapang', 'kerja', 'sritex', 'dukung', 'prabowo', 'gibran', 'tutup', 'ngapa in']",boro buka lapang kerja sritex dukung prabowo gibran tutup ngapa in,positif
Program makan bergizi gratis adalah bentuk perhatian pemerintah terhadap kesejahteraan anak-anak di Indonesia. #MakanBergiziBangunNegeri,program makan bergizi gratis adalah bentuk perhatian pemerintah terhadap kesejahteraan anak-anak di indonesia. #makanbergizibangunnegeri,program makan bergizi gratis adalah bentuk perhatian pemerintah terhadap kesejahteraan anak anak di indonesia makanbergizibangunnegeri,program makan bergizi gratis adalah bentuk perhatian pemerintah terhadap kesejahteraan anak anak di indonesia makanbergizibangunnegeri,program makan bergizi gratis bentuk perhatian pemerintah kesejahteraan anak anak indonesia makanbergizibangunnegeri,"['program', 'makan', 'bergizi', 'gratis', 'bentuk', 'perhatian', 'pemerintah', 'kesejahteraan', 'anak', 'anak', 'indonesia', 'makanbergizibangunnegeri']","['program', 'makan', 'gizi', 'gratis', 'bentuk', 'perhati', 'perintah', 'sejahtera', 'anak', 'anak', 'indonesia', 'makanbergizibangunnegeri']",program makan gizi gratis bentuk perhati perintah sejahtera anak anak indonesia makanbergizibangunnegeri,positif
@Beritasatu @Beritasatu RI sekarang presidennya @prabowo Masih aja lu joko joko joko. Presiden RI ga lu anggap?,@beritasatu @beritasatu ri sekarang presidennya @prabowo masih aja lu joko joko joko. presiden ri ga lu anggap?,ri sekarang presidennya masih aja lu joko joko joko presiden ri ga lu anggap,ri sekarang presidennya masih saja kamu joko joko joko presiden ri tidak kamu anggap,ri presidennya joko joko joko presiden ri anggap,"['ri', 'presidennya', 'joko', 'joko', 'joko', 'presiden', 'ri', 'anggap']","['ri', 'presiden', 'joko', 'joko', 'joko', 'presiden', 'ri', 'anggap']",ri presiden joko joko joko presiden ri anggap,positif
Salut banget sama pemerintah ini langkah yang keren banget #MakanBergiziBangunNegeri,salut banget sama pemerintah ini langkah yang keren banget #makanbergizibangunnegeri,salut banget sama pemerintah ini langkah yang keren banget makanbergizibangunnegeri,salut banget sama pemerintah ini langkah yang keren banget makanbergizibangunnegeri,salut banget pemerintah langkah keren banget makanbergizibangunnegeri,"['salut', 'banget', 'pemerintah', 'langkah', 'keren', 'banget', 'makanbergizibangunnegeri']","['salut', 'banget', 'perintah', 'langkah', 'keren', 'banget', 'makanbergizibangunnegeri']",salut banget perintah langkah keren banget makanbergizibangunnegeri,positif
Program makan bergizi gratis mendukung upaya pemerintah dalam menciptakan masyarakat yang sehat. #MakanBergiziBangunNegeri,program makan bergizi gratis mendukung upaya pemerintah dalam menciptakan masyarakat yang sehat. #makanbergizibangunnegeri,program makan bergizi gratis mendukung upaya pemerintah dalam menciptakan masyarakat yang sehat makanbergizibangunnegeri,program makan bergizi gratis mendukung upaya pemerintah dalam menciptakan masyarakat yang sehat makanbergizibangunnegeri,program makan bergizi gratis mendukung upaya pemerintah menciptakan masyarakat sehat makanbergizibangunnegeri,"['program', 'makan', 'bergizi', 'gratis', 'mendukung', 'upaya', 'pemerintah', 'menciptakan', 'masyarakat', 'sehat', 'makanbergizibangunnegeri']","['program', 'makan', 'gizi', 'gratis', 'dukung', 'upaya', 'perintah', 'cipta', 'masyarakat', 'sehat', 'makanbergizibangunnegeri']",program makan gizi gratis dukung upaya perintah cipta masyarakat sehat makanbergizibangunnegeri,positif
